"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Population growth (annual %)","SP.POP.GROW","","3.36490835768791","3.27674969627335","3.17905118250589","3.07062316009917","2.95111534719046","2.82307269569433","2.69395741026658","2.55968707686785","2.36733531661478","2.10646765279109","1.98815661611428","2.02788999445074","2.06542019341191","2.09079693073421","2.10740372379002","2.67931684460038","3.30381233405675","3.37481150705253","2.15705878644719","0.93484006482305","0.894930080198063","0.882597803339585","0.893677591237381","1.02892296667297","1.10672266713494","1.05000309488264","1.01680278677182","0.796126680053039","2.58832008188627","3.1174632144082","1.72619674936504","-1.17220795270319","-3.37471864205292","-2.60275046427601","-1.70949509169847","-0.87594292287609","-0.994517948945717","-1.1739815592385","-1.28976124297341","1.68478463633775","-0.289138848080883","-0.374321979277905","-0.542125640304999","-0.554559192905497","-0.586251738490671","-0.615288463799411","-0.631969382170487","-0.655422477046795","-0.685835845567342","-0.693856288987436","-0.556590762896162","-0.125578337719131","-0.0694662703047376","-0.271712284863074","-0.305729335573084","-0.410212518071397","-0.432038450211669","-0.349674218173286","-0.219168932037313","-0.0337609726366775","0.0270096898904032","0.2326562627468","-0.165163937436499","2.30761515133256","",
"American Samoa","ASM","Population growth (annual %)","SP.POP.GROW","","2.61295779479513","3.01233338010289","3.08826317729621","3.16789858783513","3.18176105080689","3.07121021041855","2.96762527294609","2.97583224176592","2.92775147923506","2.43827738196638","1.85859196321134","1.66406375528489","1.56300252663801","1.53202207747209","1.76783115888683","1.91752998240242","1.85851910243699","1.80208458089542","1.70693441973258","2.47458498189466","3.57987519738303","3.86949125410215","3.82738482907523","3.77658556525449","3.74148108281199","3.68543352791023","3.63289106172249","3.60186915981387","3.54968240827236","3.15605900743314","2.62811088695503","2.38558568502606","2.26024521597422","2.15371701014893","2.05671216036268","1.96279569672393","1.87351717706436","1.77221674438368","1.63829370882346","1.07336821798259","0.347649330019057","0.015773561790571","-0.159602955841036","-0.268918950346124","-0.354388346392294","-0.43012341626739","-0.464054456743541","-0.509197909248079","-0.538813760911533","-0.541732698337665","-0.604780136721016","-0.742342325127959","-0.890369493241287","-1.00492136443654","-1.10585645130594","-1.20431808595042","-1.26938746413556","-1.32302357149178","-1.38257886328442","-0.896274880494128","-1.0829920166826","-1.81008765020754","-1.71290294190977","-1.60366587175019","",
"Antigua and Barbuda","ATG","Population growth (annual %)","SP.POP.GROW","","1.67111956299929","1.39803464261739","1.38907961226255","1.50568747005497","1.5968067665625","1.53887375354329","1.5268716096776","1.55964844952384","1.59525763502134","1.10482864729335","0.311008551980252","-0.176274167366029","-0.423397578772618","-0.442368322635836","-0.342463410460183","-0.120688723985499","0.156710368684746","0.275215185442218","0.367853772246065","0.371155899842966","0.235334298643463","0.185399821356646","0.229727434729787","-0.0801133955462988","-0.449515327527935","-0.488877101782305","-0.514733397721861","-0.506393701034133","-0.469484430420773","-0.409839881846658","0.507699603022036","1.59169498831994","1.820176259723","1.89690804434566","1.99366754947741","2.06537047537748","2.04891111658493","1.89459540759207","1.71693315212405","1.67727282735622","1.53267318275276","1.25800968019549","1.09996203153919","1.06640091579038","1.12677248463423","1.23960018151071","1.35546842030699","1.46768441039016","1.50944003614049","1.35346888620455","1.17914352935743","1.06918387987395","0.917165517536032","0.792860528793727","0.722892009464778","0.624381829779871","0.553103046635761","0.504979187034594","0.480553889847623","0.526173366134419","0.546161676855974","0.530270318994476","0.511400156215609","0.487472101887911","",
"Australia","AUS","Population growth (annual %)","SP.POP.GROW","","1.9897400460104","2.4406394012832","1.91781647792421","1.96235442011452","1.95971689521361","2.2831843822013","1.26227688799781","1.76415865607642","2.09302301013426","1.97018887868806","3.38029353689954","1.83814626273502","1.52881691369673","2.53122025874137","1.23118588792285","1.0026582602274","1.1266726798225","1.16288525870675","1.08064227016539","1.21894271014757","1.56179416103558","1.73374392907748","1.36850145877848","1.20054276571915","1.33209683462492","1.44650206312761","1.52113890433154","1.63614876307642","1.69287969389346","1.48004693689661","1.2746217855676","1.11959770147047","0.889539825558206","0.963092494678111","1.11373422085118","1.21385498322201","1.0820399195962","0.996734717801419","1.09397580294231","1.14447285147721","1.28396809127349","1.1375387361946","1.15019273319182","1.06919812205752","1.21729073052406","1.34945083098893","1.82499679529254","2.00391140524272","2.06083316277243","1.55570626204128","1.38952731561803","1.74582000067359","1.721151439989","1.49156648912847","1.43921665259925","1.56194049810399","1.64682779735017","1.49599671041328","1.47749071058438","1.23342825131378","0.14089508329287","1.28931130985537","2.43450716351535","1.99383715356028","",
"Austria","AUT","Population growth (annual %)","SP.POP.GROW","","0.548472356417754","0.612895847822874","0.642362670652079","0.666548205291217","0.649729875576735","0.701396116235274","0.747425220117069","0.519254261579197","0.345331646244521","0.349218946276921","0.446245581370136","0.581190352265189","0.554041398958361","0.170205767697282","-0.265319410736808","-0.176672284747108","0.0383904939016918","-0.080961041675265","-0.170463648025429","0.000105968279182431","0.255018231368981","0.0717170180347239","-0.161600981253917","-0.00629490409206624","0.0469509679089439","0.0635489974692431","0.0632842039083754","0.141570850318539","0.450513899730364","0.762001611316115","0.998418103144403","1.10055228652823","0.824627940995206","0.384869546678302","0.153106260702748","0.135019833748789","0.113316608322994","0.109728368100981","0.194563153264961","0.240466652446524","0.382799394483217","0.49198046425522","0.487133894826838","0.620413127334181","0.681267248299787","0.494797775098466","0.324146535285463","0.313041437661508","0.261953189906348","0.240394299500766","0.337080841831645","0.45593747231891","0.589387254692989","0.781541632525841","1.12099250236958","1.08139629872802","0.694621103604983","0.487071924768999","0.444673639004876","0.415176731565556","0.435671684056384","0.956287797076634","0.989464653969154","0.504879813795986","",
"Azerbaijan","AZE","Population growth (annual %)","SP.POP.GROW","","3.81016460369916","2.98053448723233","2.96416042860687","3.33715466835575","3.00447498119537","2.87648564844311","2.59654110793219","2.38240397220949","2.29339442848205","2.12506836635144","2.12155255149328","2.03297116221139","1.88240203928851","1.8074085083145","1.68308037047098","1.6033403479609","1.63251074552443","1.68747623615293","1.57962022631322","1.45851929023408","1.5662752500675","1.58223874266506","1.59552745530139","1.65881763239744","1.54558145433863","1.49030506583321","1.53971522591019","1.43324270450177","1.45115224138506","1.38441350150675","1.33044567943037","1.51162852010951","1.51580689251655","1.34847501163452","1.15566613988888","1.01179991660887","0.964673773704232","0.949138146647058","0.877598699856844","0.821519963674211","0.774765939386613","0.746173582716985","0.757650955616913","0.875427280482454","1.02226559239828","1.09858657441812","1.13385546615645","2.09985403259251","2.07614826384645","1.18978770786007","1.30300085487651","1.32876382733755","1.29344702700591","1.24820899735588","1.19120985807018","1.11785721013911","0.98126180450475","0.866316916370841","0.846646726414021","0.684365325388407","0.441197735816311","0.039507866238038","0.120242150339289","0.480155257252915","",
"Burundi","BDI","Population growth (annual %)","SP.POP.GROW","","2.53116670769937","2.53620467713375","2.10624576492485","2.84839199215345","2.76657195516392","2.40895629109634","2.53839191129261","2.38586624569937","2.17135815996594","2.17164614791111","2.4304607187259","-0.00445094608250469","-0.14211969299836","2.50434756552252","2.48064705795536","2.24026387382085","2.56696857089126","2.88879947975602","2.48552391407223","4.19698368756945","4.07461288907864","2.49544601343113","2.67959337969211","2.42306841447801","2.16015476241538","1.87681826943276","2.28150412894344","2.21508609031534","1.96331259756422","2.0861326947595","2.06908349172423","2.67351109579947","-3.14824552751545","0.649848385023095","5.98577493416484","0.0690460841637087","-0.00764380652711988","1.91022480299428","2.39621572131493","2.07761630416467","2.50568660000274","2.82021948884885","3.15909277106132","3.72769286109058","3.71426552783148","3.6016417629351","3.69817167466282","4.12553206908571","5.06613607694958","4.68101057302388","3.57769854786004","3.56852147814432","3.59186709345175","3.39447686677984","2.26851729292704","1.72186004024144","2.35048627086438","3.01898182778662","3.28367531420808","2.9086530249822","2.72425539520386","2.70585008916716","2.72764441044431","2.5839340108674","",
"Belgium","BEL","Population growth (annual %)","SP.POP.GROW","","0.332205945818093","0.398054786807546","0.747606930682632","0.94647753571233","0.908137001686598","0.675463567135343","0.556645554862671","0.393391107738732","0.283169669202288","0.0986136915027669","0.182247071467749","0.391585907459382","0.314658765693604","0.314633664597999","0.288978161128393","0.178674447005659","0.123479645392964","0.0932999598130252","0.0898825512632337","0.110211165985901","-0.0026371543402261","-0.027176883483947","-0.00794447069062125","-0.00150170778678296","0.029786422643661","0.0356488507832359","0.0852521408125053","0.317926245358661","0.363247985870165","0.298235706313592","0.371593165668169","0.405713495856337","0.390638517826929","0.308197073686726","0.209436838020324","0.1953931762382","0.241991884983082","0.213527650670943","0.229189103029716","0.242517956221334","0.343951157623668","0.448268894821562","0.418641508069053","0.432788248129175","0.550055708089009","0.659558214980699","0.734330830765919","0.789976845480149","0.804599572619861","0.913639391631709","1.3010029017038","0.620163579337378","0.471340143966627","0.44392928847521","0.579446241677791","0.506300002451376","0.385228018372369","0.455184695275022","0.540461327098122","0.430996815099722","0.411601996532257","0.808165350001861","0.850263748167955","0.66555918543206","",
"Benin","BEN","Population growth (annual %)","SP.POP.GROW","","1.65223597640713","1.75980677292952","1.83546323054076","1.90768708165735","1.97493062331323","2.02370294974179","2.06361324138353","2.10985338214381","2.15651766917497","2.2046719973742","2.24886828749227","2.29503743434992","2.34034849385799","2.38155896131934","2.43177416734328","2.48777341182847","2.54383914171627","2.59097540280167","2.65970887557255","2.75652901926142","2.83952465028822","2.88709253402082","2.90177259558927","2.92292209235418","2.95456137340361","2.98299675866442","3.01407725589672","3.04249160427487","3.0593332626888","3.07281526239198","3.0846342257467","3.08954460200877","4.43675552850148","3.74003044963406","2.11424008856257","2.6166771873555","2.95210198459104","3.0829668212606","3.09369584671073","3.07665265205002","3.05435506649292","3.04010801597376","3.04920259714654","3.06173106096489","3.22061199704122","3.12066888297415","2.95509554727715","3.01959398464251","2.99903642214246","2.98424162798508","2.97782202797765","2.96766540040992","2.94885160135819","2.9550187594558","2.95391627666724","2.92460216679542","2.88117869411855","2.8136418840483","2.73538842831436","2.66259875153288","2.59230167510348","2.54740926342667","2.52274772277722","2.46175361912328","",
"Burkina Faso","BFA","Population growth (annual %)","SP.POP.GROW","","1.44604411628792","1.46294092951544","1.4919836804088","1.53830431630421","1.60019189327262","1.63802943469703","1.67388702374135","1.71797745488774","1.72954453752505","1.74638619911466","1.72636174071191","1.72358573504286","1.78674540301221","1.89297098374055","2.01551734802293","2.1414370897999","2.33065392660895","2.49250252307762","2.5897435791745","2.68393653376526","2.73112751689755","2.76149506900293","2.83314070020022","2.88633812219102","2.88729469195998","2.8212491022274","2.73614817791528","2.68703394002769","2.65499355256176","2.6348206163474","2.53625917894951","2.46694750828756","2.48654572072589","2.52154952786592","2.56393697670826","2.55894111772828","2.57799245224128","2.76403220911076","2.9303462196778","2.98414422391968","3.05099351122556","3.09039308299234","3.11812174449527","3.14512608695879","3.14680149143287","3.12034537509581","3.03277637197036","2.93816522811728","2.91916025918168","2.92577947499021","2.95657078370668","3.0171707485343","3.00083639274971","2.9733794200807","2.96196306547686","2.92508251378454","2.85291595529266","2.69713675384815","2.52989803984158","2.43522959287393","2.37649218888363","2.30907147387783","2.26973666268599","2.24597728439097","",
